S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE % ,Profit Var 5Yrs %,Sales Var 3Yrs %,Profit Var 3Yrs %
1,Nestle India,1193.6,72.4,230163.6,1.13,1018.06,26.6,5667.04,18.56,95.66,9.48,11.08,10.57
2,Waaree Renewab.,850.25,21.13,8872,0.12,120.2,124.67,851.06,136.18,82.31,142.51,114.67,197.14
3,Esab India,5406,42.53,8321.47,1.2,43,29.62,378.83,12.25,70.03,19.74,15.29,27.78
4,Billionbrains,161.46,62.75,101293.49,0,546.93,-27.76,1216.07,24.78,62.57,,111.84,112.67
5,Anand Rathi Wea.,3003.4,68.11,24934.42,0.35,100.19,29.66,289.62,22.18,56.26,37.33,32.2,33.46
6,Cams Services,640.7,35.76,15882.2,1.94,121.98,3.53,366.97,5.59,54.75,21.96,15.59,14.61
7,GE Vernova T&D,3678.9,84.29,94198.23,0.14,290.8,138.53,1700.64,58.4,54.74,34.77,11.87,81.02
8,I R C T C,522.85,30.25,41828,1.63,394.49,13.29,1449.47,18.36,49.03,20.04,35.51,24.57
9,BSE,2806.1,52.39,114292.19,0.21,596.59,175.79,1244.1,61.97,46.57,65.43,56.33,70.47
10,Prudent Corp.,2236.6,43.14,9261.02,0.11,57.63,19.59,343.19,20.4,44.06,47.65,35.24,34.53
11,HDFC AMC,2385.9,35.55,102212,1.89,770.09,20.05,1074.25,14.97,43.33,14.28,18.58,20.89
12,Multi Comm. Exc.,2414.5,65.69,61567.78,0.25,401.12,150.64,665.62,120.86,42.86,25.43,44.76,51.61
13,C D S L,1190.8,52.26,24887.72,1.05,132.95,2.48,304.36,9.43,41.96,37.81,25.21,19.22
14,Triveni Turbine,456.15,41.13,14500.64,0.88,91.7,11.43,624,23.96,41.36,23.36,33.02,42.6
15,Pace Digitek,164.36,14.12,3547.73,0,78.78,8.06,643.97,13.54,41.31,,81.83,191.08
16,Nippon Life Ind.,838.9,37.05,53467.74,2.15,403.9,36.75,705.28,19.97,40.69,25.38,17.98,20.02
17,Action Const.Eq.,829.15,23.36,9873.78,0.24,116.41,4.24,854.63,-2.34,40.11,51.12,26.86,57.26
18,KPIT Technologi.,660.95,23.81,18119.53,1.29,133.41,-6.28,1617.46,9.44,40.03,39.82,33.92,43.2
19,Bharat Electron,426.1,52.23,311469.68,0.56,1579.7,20.45,7153.85,23.97,38.88,23.8,15.65,30.36
20,Solar Industries,12934,80.6,117039.84,0.08,466.54,41.73,2548.32,29.15,38.13,36.25,24.07,41.63
21,CG Power & Ind,681.6,96.47,107346.38,0.19,283.91,18.42,3175.35,26.22,37.48,33.57,21.8,10.99
22,Garden Reach Sh.,2280.8,37.92,26127.02,0.61,170.77,73.92,1895.69,49.15,36.64,25.45,42.49,42.06
23,Cummins India,4615.3,54.93,127936.12,1.12,486.06,4.41,3054.92,-1.33,36.32,22.45,18.97,34.86
24,Tata Elxsi,4237.7,41.85,26399.47,1.77,108.89,-19.99,953.47,1.52,36.26,24.68,14.71,12.67
25,Aditya AMC,944.65,26.8,27282.08,2.54,269.52,21.01,478.08,7.41,35.51,13.48,12.15,11.42
26,Indiamart Inter.,1994.4,19.8,11983.78,1.5,188.3,55.62,401.6,13.35,34.24,29.09,22.6,21.08
27,BLS Internat.,240.6,15.38,9906.49,0.83,170.22,34.81,736.46,43.6,33.62,45.73,37.17,65.4
28,NBCC,83.91,34.12,22655.7,0.8,197.22,-2.79,3022.39,7.59,33.17,51.02,16.11,29.6
29,Natco Pharma,959.2,11.03,17180.22,0.63,151.3,13.91,647.3,36.33,32.78,33.27,31.57,139.37
30,KFin Technolog.,914.55,44.65,15778.19,0.82,91.99,8.39,370.87,27.88,32.75,134.47,19.48,28.93
31,Apar Inds.,9673,39.18,38854.81,0.53,208.93,29.8,5479.73,16.18,32.7,43.37,25.87,48.21
32,Suzlon Energy,41.95,17.66,57070.59,0,445.28,15.08,4236.09,42.4,32.52,22.93,18.27,194.64
33,Netweb Technol.,3284.4,105.17,18701.6,0.08,73.31,146.67,804.93,141,32.45,96.32,66.93,71.9
34,Corona Remedies,1650.5,63.39,10094.47,0,41.25,21.58,342.42,15.03,31.47,20.43,24.68,538.17
35,Balu Forge,437.75,20.77,5313.93,0.03,71.09,20.47,311.11,21.63,31.26,,47.8,89.41
36,Authum Invest,492.2,11.48,41798.88,0.04,168.02,-69.18,446.21,-27.76,30.85,208.59,71.39,85.2
37,Kingfa Science,4073.3,32.86,5519.88,0,45.17,30.44,489.46,11.15,30.55,44.08,18.52,47.72
38,Persistent Systems,4716.7,41.37,74405.94,0.74,439.45,35.75,3778.21,23.38,30.44,32.77,27.87,27
39,TD Power Systems,863.25,61.41,13485.25,0.14,56.32,25.35,442.68,26.36,30.35,55.63,17.05,39.23
40,Hero Motocorp,5275.5,19.08,105557.36,3.13,1275.15,22.49,12486.82,21.71,30.34,7.08,11.46,23.85
41,Hexaware Tech.,439.45,18.5,26851.1,2.62,291.6,14.35,3478.2,10.27,30,18.5,13.44,18.07
42,Force Motors,21585,29.65,28440.96,0.19,406.15,120.68,2128.56,12.65,29.99,46.83,35.56,99.97
43,Eicher Motors,6909,35.09,189523.68,1.01,1420.61,25.12,6114.04,22.94,29.81,20.98,22.37,41.32
44,Schaeffler India,4186.5,54.7,65436.53,0.84,327.96,31.54,2643.06,26.93,29.79,32.68,11.01,11.26
45,Polycab India,7171,41.11,107959.77,0.49,630.17,35.87,7636.13,46.12,29.72,20.93,22.45,29.35
46,Volt.Transform.,8604.5,24.57,8705.28,1.16,99.08,34.99,630.32,30.36,29.11,29.72,19.72,35.86
47,Elecon Engg.Co,389.85,21.15,8748.23,0.51,71.99,-33.06,551.74,4.32,28.46,35.57,22.48,42.06
48,Concord Biotech,1092.3,35.97,11427.23,0.98,67.78,-5.2,278.13,13.89,28.35,18.66,18.96,26.82
49,L&T Technology,3229.1,26.66,34227.86,1.7,303.1,1.81,2923.5,10.2,28.29,9.04,17.55,10.58
50,Kirl.Pneumatic,1050.7,32.5,6824.52,0.95,43.1,53.33,403.5,18.68,28.27,31.77,16.84,37.96
51,Tilaknagar Inds.,434.4,38,10737.1,0.23,-105.41,18.69,663.74,94.97,28.19,26.4,22.33,93.01
52,Newgen Software,440.6,19.25,6270.52,1.13,62.82,-3.38,400.28,5.03,27.97,33.45,24.05,23.62
53,Fiem Industries,2026.8,22.18,5334.47,1.48,63.37,34.77,690.07,16.35,27.8,21.89,15.5,28.97
54,HBL Engineering,659.5,22.36,18281.01,0.3,220.1,242.37,874.04,93.99,27.33,64.63,16.75,47.99
55,Dodla Dairy,1014.3,22.58,6119.05,0.49,68.74,17.08,1025.04,13.74,26.55,38.71,18.36,24.28
56,Vikram Solar,192.58,15.35,6977.75,0,98.15,436.33,1105.95,7.79,26.45,46.46,25.54,61.62
57,Dynamic Cables,269.45,15.58,1305.72,0.09,22.42,41.9,298.77,18.8,26.37,28.99,22.08,28.05
58,Godfrey Phillips,1991.5,23.93,31063.77,1.59,343.29,8.2,1828.61,15.09,26.32,23.93,27.81,36.06
59,DOMS Industries,2278.8,62.33,13829.66,0.14,61.41,14.13,592.19,18.18,26.18,41.24,40.91,141.76
60,Gabriel India,862.95,50.29,12395.75,0.54,65.64,41,1071.57,15.95,26.14,19.99,16.04,32.74
61,Caplin Point Lab,1604.1,19.87,12193.04,0.37,165.86,17.93,542.77,10.1,25.85,20.48,15.14,21.48
62,Tata Technolog.,539.65,33.36,21908.67,1.55,6.64,-21.7,1365.73,3.67,25.8,21.37,13.56,15.71
63,J B Chemicals &,2138.6,45.55,34337.08,0.72,197.89,21.79,1064.72,10.51,25.79,19.78,17.35,21.41
64,Shriram Pistons,3125,24.52,13765.57,0.32,125.7,17.91,1023.2,20.67,25.7,47.8,19.8,45.66
65,ICICI Lombard,1777.2,32.38,88568.97,0.7,658.76,-9.06,6904.74,12.07,24.86,16,14.35,25.4
66,Interarch Build.,1742.4,21.02,2922.33,0.72,37.26,40.67,522.52,43.7,24.81,22.34,20.31,84.77
67,Indegene,440.65,24.14,10596.75,0.45,102.9,-6.2,942.1,30.77,24.8,67.93,19.48,29.44
68,Khazanchi Jewell,704.95,22.84,1744.53,0.14,25.13,103.15,589.02,49.6,24.07,81.04,90.34,145.66
69,N S D L,871.4,46.73,17428,0.23,89.67,4.44,359.63,-0.81,23.57,21.33,23.11,16.68
70,EIH,309.5,25.49,19355.02,0.48,254.75,-1,872.89,9.09,23.43,38.17,40.68,92.5
71,Vesuvius India,478.35,36.76,9708.63,0.31,80.23,33.87,550.77,8.28,22.91,37.86,16.16,31.25
72,Mahanagar Gas,967.1,9.88,9552.8,3.1,201.97,-10.38,2058.28,17.11,22.89,4.26,24.82,17.87
73,Pricol Ltd,533.55,30.6,6502.99,0.37,63.69,53.66,1039.39,63.99,22.87,29.55,20.34,46.3
74,P I Industries,2909.5,32.34,44142.39,0.55,311.3,-39.61,1375.7,-27.63,22.86,29.53,14.61,25.37
75,Dr Reddy's Labs,1298.9,19.47,108413.12,0.62,1189.6,-14.42,8753.4,4.44,22.69,22.28,14.86,38.02
76,Himadri Special,451.4,32.25,22775.01,0.13,192.04,35.29,1183.62,3.77,22.01,22.02,18.23,111.21
77,Railtel Corpn.,271.5,26.78,8713.48,1.05,62.4,2.92,913.45,19,21.84,12.84,31.72,22.54
78,Maruti Suzuki,12601,26.53,396178.68,1.07,3879.1,4.08,49904.1,28.74,21.7,34.67,20.07,72.31
79,Ratnamani Metals,2310.8,27.17,16196.86,0.61,135.38,-7.83,1065.83,-19.03,21.51,12.03,18.22,18.95
80,Gravita India,1405.2,27.15,10371.56,0.45,97.49,25.33,1017.07,2.07,21.5,48.7,20.41,29.79
81,Jupiter Wagons,262.6,46.52,11222.75,0.38,58.33,-40.39,775.93,-22.41,21.49,124.77,48.65,95.14
82,KEI Industries,4188,46.52,40037.53,0.11,234.86,42.5,2954.7,19.51,21.29,22.11,19.35,22.78
83,Welspun Corp,803.85,13.66,21204.81,0.62,456.36,-32.91,4532.48,25.43,21.24,13.17,29.04,39.84
84,Bosch,30390,38.79,89631.17,1.68,532.1,7.9,4885.6,9.4,21.11,12.76,15.36,18.32
85,Timken India,3163.3,55.29,23793.94,1.14,49.85,-32.92,764.38,13.84,20.93,12.63,12.63,10.87
86,Garware Hi Tech,3650.8,27.55,8481.68,0.33,55.77,-8.29,458.74,-1.64,20.57,31.28,17.43,29.1
87,Cochin Shipyard,1341.5,49.61,35292.29,0.73,137.69,-25.29,1165.37,8.93,20.35,5.79,12.38,12.84
88,Sun Pharma.Inds.,1777.1,35.13,426385.82,0.9,3381.17,18.73,15520.54,13.49,20.21,23.78,10.8,20.18
89,ZF Commercial,13801,52.72,26166.7,0.14,138.68,15.71,1057.65,10.65,20.15,27.06,14.36,51.77
90,Poly Medicure,1240.9,35.67,12577.7,0.28,70.81,-10.98,493.66,16.37,20.08,28.38,21.85,33.39
91,Marksans Pharma,170.05,21.39,7706.05,0.47,113.69,8.26,754.43,10.64,20.03,25.78,20.72,27.23
92,Assoc.Alcohols,727.8,16.74,1461.36,0.27,27.3,4.64,260.38,-20.38,20.01,10.17,27.96,10.63
93,Acutaas Chemical,2399.8,68.47,19647.43,0.06,106.22,140.18,393.18,42.98,19.92,41.4,24.63,30.17
94,AGI Greenpac,499.1,9.54,3229.05,1.4,71.64,-15.23,633.69,-3.76,19.89,46.54,20.92,18.38
95,R R Kabel,1391.4,33.66,15736.88,0.43,118.25,93.1,2535.86,42.29,19.77,20.06,20.21,13.06
96,Varun Beverages,401.45,46.28,135774.18,0.25,260.01,35.99,4204.42,13.98,19.71,50.22,18.08,23.97
97,PG Electroplast,512.75,52.83,14630.94,0.05,61.96,56.7,1412.13,45.93,19.36,,63.62,99.57
98,Thomas Cook (I),103.34,19.27,4860.91,0.44,45.49,20.1,2145.68,4.11,18.69,326.25,62.75,46.34
99,Safari Inds.,1520.5,44.37,7449.53,0.2,32.89,5.62,512.37,15.73,18.67,35.44,35.94,66.69
100,Neuland Labs.,11995,85.91,15389.45,0.1,40.57,-29.12,439.71,10.47,18.66,66.88,15.8,47.28
101,Bikaji Foods,629.7,63.26,15788.87,0.16,62.17,117.64,790.01,10.51,18.16,28.79,17.63,37.21
102,Aurionpro Sol.,815.5,22.12,4506.59,0.49,43.94,0.89,371.03,21.21,18.07,38.33,32.43,38.07
103,Capacit'e Infra.,223.88,9.6,1894.12,0,50.48,-3.84,675.42,14.38,18.01,17.44,20.59,62.07
104,Som Distilleries,74.66,17.55,1552.19,0,5.49,-75.99,250.55,-16.79,17.98,47.87,58.09,137.12
105,Avenue Super.,3770.8,85.65,245378.43,0,855.78,18.27,18100.88,13.32,17.95,15.86,24.21,21.8
106,Sona BLW Precis.,506.25,48.26,31481,0.63,150.16,16.27,1199.76,38.24,17.82,31.47,18.51,18.5
107,Tega Inds.,1725,64.19,12959.53,0.12,19.71,-63.67,403.71,-1.36,17.8,24.79,19.85,19.65
108,Route Mobile,468,9.55,2948.54,2.35,102.56,18.45,1107.06,-6.48,17.74,36.2,31.72,25.92
109,Oberoi Realty,1445.8,23.31,52569.61,0.55,622.64,3.55,1492.64,5.78,17.73,25.94,25.19,27.95
110,Rategain Travel,481.6,28.7,5688.86,0,26.45,-19.56,540.03,93.76,17.3,61.81,43.21,211.91
111,SBI Life Insuran,1896.9,76.74,190262.26,0.14,576.74,4.71,46132.63,144.58,16.88,11.28,12.1,17.02
112,Affle 3i,1285.7,41.28,18097.18,0,119.32,19.06,717.47,19.25,16.82,42.26,27.96,21.31
113,Krystal Integrat,553.15,13.42,772.86,0.27,14.24,-1.39,259.8,1.13,16.82,19.3,27.63,32.25
114,Techno Elec.Engg,1089.6,27.03,12672,0.83,119.25,24.23,872.2,37.12,16.54,18.85,31.43,12.74
115,Mrs Bectors,182.84,47.69,5613.02,0.66,33.14,21.13,496.65,8.54,16.39,33.79,23.55,31.55
116,Paramount Comm.,34.76,18.31,1060.91,0,7.48,-66.99,460.92,17.69,16.3,26.62,39.48,118.61
117,Radico Khaitan,2660.5,67.15,35623.55,0.15,155.09,69.07,1546.75,19.51,16.24,7.07,19.2,11.04
118,BLS E-Services,144.35,23.44,1311.51,0.69,15.23,-3.21,280.68,119.92,15.83,,75.12,110.84
119,Patanjali Foods,474.6,30.75,51641.43,0.7,593.76,68.21,10483.71,16.53,15.55,41.57,12.16,17.37
120,Updater Services,138.14,9.58,924.89,0,6.61,-56.02,767.1,10.39,15.32,23.53,22.65,28.29
121,Latent View,267.35,27.82,5532.14,0,50.77,19.67,278.01,22.02,15.22,19.8,27.63,14.63
122,Yatharth Hospit.,640.25,36.86,6169.09,0,43.08,48.74,320.47,46.23,13.99,151.91,31.89,43.05
123,Sambhv Steel,94.48,26.78,2784.06,0,24.13,112.79,589.14,59.64,13.92,,22.64,-7.03
124,Ethos,2237,61.55,5985.7,0,30.57,7.47,468.52,26.65,13.75,120.26,29.43,60.1
125,Zaggle Prepaid,207.81,21.99,2794.18,0,35.97,77.72,497.63,47.91,12.99,88.05,51.96,27.78
126,Le Travenues,173.54,128.94,7595.7,0,23.95,69.33,317.56,31.35,12.62,31.79,34.05,59.84
127,Mafatlal Inds.,120.9,9.07,872.52,1.65,4.05,-77.51,717.4,-21.19,10.3,45.74,40.93,178.43
